,label,review
10,9,"Parasite: A con-artist family preys on an upper-class couple and their children. That's the bare bones of this film but it is a multi-layered black comedy thriller which heaps the satire on with a trowel but never falters as the brilliant script and direction by Bong Joon-ho keeps things going at a brisk canter. A tale of class war as the condescension shown to the servants is all too obvious, there is a line which must never be crossed by the hired help. The way the Kim family inveigle their way into the wealthy Park's home is a joy to observe. First the son as an English tutor then the daughter as an art therapist followed by the father and mother as chauffeur and housekeeper, the existing servants just cast aside. Something odd then happens which would be a spoiler if revealed but it alters the tone of the film. Things proceed towards a dark climax which ventures into the area of quotidian horror. Another masterpiece by Bong Joon-ho which he (partially) based on his own experiences as a maths tutor to the son of a well off family. 9/10."
11,9,"Bong Joon Ho directed one of my favorite movies of 2017, Okja, and has done it again in 2019 with Parasite. A working class family worms their way into the lives of a wealthy family with unexpected results. Ho has written a sardonic satire which loses nothing in translation from Korean to English. Koreans, like we American counterparts, have a 99% and a 1% who look down on the rest of us with disdain. The script is right on point and the entire cast is excellent. Easily one of the ten best films of 2020."
12,8,"The Oscar fever has started and it is my favourite time of the year where I get to watch the films which is engaging, clap-worthy, entertaining and relatable.
Parasite was already in buzz for sometime which caught my attention and to my surprise turned out to better than expected after seeing it.Parasite tells the story of differences in the mindset between the Upper class and Lower class families which is very much existing in our society.
As the name of the film itself, the movie gives a detailed account of how an unemployed family is influenced by the lifestyle of a wealthy rich family and eventually enters into their house
only to get the shock of their life.Directed by Bong Joon Ho, who made Snowpiercer and Okja, Parasite boast off characters which you can easily relate to. A poverty driven family comprising of
a struggling father, Kim, and mother, tech savvy son and a careless sister - who goes the wrong path to enter the house of a rich family but ultimately face the consequences.
The film slowly and eventually picks up as each member from the poor family starts getting the job in the house of rich, by falsely accusing the old staffs. The main
drama unfolds when the rich guys go for a vacation and the Kim's family take over the house and celebrate their win. However, they meet with an unfortunate incident when one of the
old staff comes back which changes their plan completely. This is where the film kicks-off when the rich guys cut short their trip and plan to come back which leads
to series of uninvited events, leading to more excitement and thrills you never expected.If you go the wrong way, you have to face the consequence and that is what the director Bong Joon Ho showed in his film when Kim's loses one of his family member
and ultimately face the redemption. Hats of to Bong Joon Ho for creating a beautiful drama with relatable characters, humorous situations and a powerful storyline with a strong message.
There are couple of scenes which is executed brilliantly - when two staff families meet at the basement, the flood scene depicting the behavior of Kim's family - Kim picking
up in stuff, son grabbing his favourite stone and daughter lighting her cigeratte even though the house is in mess. The beauty of cinema lies in the story-telling
and this is where Parasite scores.Technically, Parasite has a wonderful background score with lovely cinematography. Editing is superb, though I felt few scenes could have been trimmed. Art direction
is brilliant while dialogues are outstanding. Performances wise - I felt all the actors played their part while but if I had to pick up, my favourite would be
Kang-ho Song, who plays the role of father of the unemployed family.Parasite is nail-biting and intense thriller that is going to give you goose bumps. Brilliant 4/5"
13,10,"Bong Joo Ho has been making ingenious social commentary for some time. That is not new. But this film reaches new heights, not through more extravagant plot but through a more naturalistic approach. As a result, the comedy, the stakes, and the insights here are at a different level. You care about the protagonists, and you feel the weight of their struggle. All the same ingredients are there (the social satire, the violence, the bizarre twists, the brilliant direction), but there's a new weight to this film. I don't think ""masterpiece"" is too strong, and I'm looking forward to watching it again some time soon."
14,9,"My Review- Parasite
My Rating 9/10I'm so glad I got to finally see Parasite today on the day it won 2 well deserved BAFTA British Academy Awards Best Movie not in The English Language and Best Original Screenplay for its writer/ director Bong Joon Ho.Parasite has already received numerous accolades, with six nominations at the 92nd Academy Awards, including Best Picture, Best Director and Best International Feature Film, making it the first South Korean film to receive Academy Award recognition. At the 77th Golden Globe Awards, the film won the award for Best Foreign Language Film. It received four nominations at the 73rd British Academy Film Awards. It also became the first non-English film to win the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture.The film's title ""Parasite"" was selected by Bong as it served a double meaning, which he had to convince the film's marketing group to use. Bong said ""Because the story is about the poor family infiltrating and creeping into the rich house, it seems very obvious that Parasite refers to the poor family, and I think that's why the marketing team was a little hesitant. But if you look at it the other way, you can say that rich family, they're also parasites in terms of labor. They can't even wash dishes, they can't drive themselves, so they leech off the poor family's labor. So both are parasites.""I read Director and script writer Bong Joon
is a great admirer of Alfred Hitchcock and I'm sure Hitch would praise this movie even the music score is reminiscent of Hitchcock films . The film makes several nods to Alfred Hitchcock throughout. Stairs are used as a motif, voyeurism is used as characters watch scenes through windows 14 times, and (most obviously) there is a brief glimpse of an out of place Alfred Hitchcock collection in the Park's home.
I thought it also reminded me of Quentin Tarantino in its dark comedy and there are some very funny moments especially in the first half of this unique and original film.Unfortunately I've only seen Parasite on DVD but I hope to see it again on a Cinema Screen soon.
It's a movie I want to watch again as it's as good as all the hype it's getting and what a journey! it takes the audience on.
Described as a Black Comedy Thriller as of 2/2/20 this film had grossed a Worldwide $163.3 million and was estimated to have cost $11 million to produce.Of course I don't know any of the actors but they're all terrific in their roles and as an ensemble cast one of the best this year .
I still think it's odd to include this film in 2 Best Film Categories at next weeks Academy Awards it had no chance of winning Best Picture but I'm certain it will win Best International Feature Film and it probably deserves to. I'm still so fond of Pedro Almodóvar's Pain & Glory..Ps an add on comment after seeing Parasite on a Cinema screen the best way to appreciate a film like this.After seeing Parasite on a Cinema Screen at last I appreciate the movie even more.
There's so much to absorb and think about in the layers of Pasasite. The story depicts Class divides, Climate Catastrophes, Nuclear War fear and Violence due to mental illness and resentment.
I was wrong in my first review to think Parasite had no chance of Winning Best Film of the year and I still think it's unfair that films in a Foreign Language have 2 bites of the Best Film cherry but this movie is a great film .This is not a new review my original will do but just an observation after seeing ""Emma"" this week which portrayed Upper Class 19th Century snobbery and class division then the excellent HBO series ""Succession ""portraying an incredibly wealthy Media magnates family living a life of incredible privilege financed by greed and cunning plotting the next coup.
The common thread that Parasite, Emma and Succession have is total separation from the feelings and aspirations of anyone outside their Class it's survival at all costs and disregard anyone who smells differently speaks differently, dresses differently or anyone doesn't process a degree or wealth.
The poor family's ingenious scheme to obtain a better life regardless of the outcome shows more intelligence and hope to improve their situation than the insular, neurotic self obsessed rich Park family.2 comments from Parasite said by Ki-taek and wife Chung-sook stay in my mind .Ki-taek: They are rich but still nice.
Chung-sook, Ki-taek's wife: They are nice because they are rich.Chung-sook, Ki-taek's wife: If I had all this I would be kinder.Ki-taek: Rich people are naive. No resentments. No creases on them.
Chung-sook, Ki-taek's wife: It all gets ironed out. Money is an iron. Those creases all get smoothed out by money.Both families end up with creases and resentments in Parasite so I guess both families fit the definition of Parasites-parasiteLearn to pronounce
noun
1.
an organism that lives in or on an organism of another species (its host) and benefits by deriving nutrients at the other's expense."
15,2,Maybe people get too emotional in West. May be that is why it got an Oscar. There's nothing special about this movie; the story so average.
16,6,"Bong Joon-Ho, the celebrated Korean director, actually won the Palme d'Or at the Cannes Film Festival for Parasite. His ""heroes"" at the outset are the Kim family, semi-lovable con artists led by dad Kim Ki-taek, mom Choong-sook, son Ki-woo and daughter Ki-jeong. They live in a dirty semi-basement apartment in a lower middle-class part of town where they barely get by folding pizza boxes. The fun part is that the parents view themselves more as partners in crime with their kids and encourage them to engage in any kind of unsavory activity they can get involved in.
The inciting incident involves Ki-woo's friend Min-hyuk, who informs his buddy that he's going abroad and he'll gladly give Ki-woo his job as tutor to Da-hye, the daughter in the wealthy Park family, whose father is CEO for an extremely successful tech company, provided that he can convince the Parks to take him on.
The fun begins when Ki-yoo cons Mrs. Park into believing he has impressive academic credentials after forging diplomas using some computer software. Ki-yoo goes right to work seducing the impressionable teenager Da-hye and then convinces Mrs. Park to hire his sister Ki-jeong, as an art therapist for their young hyperactive son Da-song.
Before you know it, Ki-jeong (who calls herself ""Jessica"" in the Park household) plants her panties in the one of the family cars, leading to the firing of Mr. Park's driver, who's now suspected of having a clandestine affair with a girlfriend. Jessica now introduces ""Uncle Kim"" to Mr. Park as a new potential driver; the ""uncle"" is of course Jessica's dad and he's immediately hired by the unsuspecting father.
The family has one more hurdle before gaining apparent hegemony over the Parks. Housekeeper Moon-kwang, who has been a fixture there for ages, will not be so easy to get rid of...until it's discovered she's allergic to peaches. So when Jessica applies the smallest of tinctures from a peach brew, poor Moon-kwang is felled by her allergies. When ""Uncle Kim"" convinces Mrs. Park that Moon-kwang is suffering from tuberculosis, Mrs. Park has no choice to fire the hapless housekeeper.
Parasite takes a dark turn when Moon-kwang later returns to fetch some of her belongings and soon it's revealed that her husband Geun-sae, on the lam from loan sharks, has been hiding for the past four years in the basement where there's a secret bunker (the Park home is a veritable mansion with the secret bunker doubling as a fallout shelter originally designed for protection against North Korean missiles!).
When Moon-kwang discovers the new ""hired help"" are from the same family, she records footage on her cell phone proving that they're simply a bunch of grifters and threatens to send the clip to Mrs. Park. When the Parks suddenly return early from a camping trip, the Kims scramble to confine the housekeeper and her husband down in the bunker. Choon-sook ends up pushing Moon-kwang down the stairs after she tries to escape and hits her head, suffering a concussion.
As the noted drama critic Eric Bentley once noted, farce is ""permitting the outrage without the consequences."" The Kims and the Parks can do all these crazy things without any consequences since up until this point, the story is supposed to be a farce. But once Moon-kwang is pushed down the stairs and suffers a grievous head injury, Choon-sook is no longer an amusing character.
A series of events then take us further and further away from the amusing spectacle we were enjoying minutes before. The Kims (minus Choong-sook) manage to flee the mansion after the Parks return home, only to find their apartment flooded during a storm. They're forced to sleep in a gymnasium during the night. Moon-kwang then dies from the head injury. The next day, Mrs. Park throws a birthday party for Da-song and the three Kims return.
Parasite gets more bizarre and unpleasant when Ki-yoo, wielding a rock given to him as a gift by Min-hyuk, goes down in the bunker and attempts to kill Geun-sae, who ambushes and hits him in the head with the rock. The sight of the bleeding Ki-yoo will disappoint all those who were hoping the farcical goings-on will continue.
But it gets worse. Geun-sae goes berserk and stabs Ki-jeong to death, only to be stabbed and killed by Choong-sook with a meat cleaver. Mr. Park, desperately trying to retrieve the car keys so he can take Da-song to the hospital after the child has had a seizure, gets a whiff of the dying Geun-sae, whose smell repulses him (it's been revealed earlier that Park has a revulsion to the smell of certain lower middle-class people). When Ki-taek witnesses Park's reaction to the smell, he goes berserk and stabs Park to death.
Finally, we learn that Ki-yoo survives after undergoing brain surgery. He and his mom, Choong-sook, end up getting probation while Ki-taek takes refuge in the bunker where no one finds him. Ki-yoo fantasizes of the day he'll become rich, buy the now sold Park mansion and reunite with his dad.
Some have said this is some kind of meditation on the class differences in South Korean society. Those differences are highlighted comically through most of the film but with the ensuing bloodbath, the comic tone is lost. The principals all receive their comeuppance which is good I suppose, but without the playful tone established early on, Parasite ends up feeding on the viewer, whose initial high expectations are ultimately left unmet."
17,1,"I'm sorry, am I missing something here? Every celebrity, message board poster and even the former President of the United States Obama are saying this was the best movie of the year.It's just not good! Why is this being considered one of the best of the year? I'm totally lost. This is one of the most forgettable movies I have ever seen. To put it bluntly, even Michael Bay's worst Transformers movie is better than this dreck.I came into this movie thinking it was going to be the next City of God based on the hype. It's actually on the level of a movie on Netflix that I'd spend five minutes on before skipping to the next film and clicking ""thumbs down.""Don't waste your time, trust me on this.I forgot to add, it's very obvious that whoever made this movie ripped off Shameless in many ways. They were definitely inspired by it."
18,9,"Only mild spoilers.If you are looking for film that skillfully evokes a myriad of emotions from the audience - you've landed-on it! The Koreans have always been great at combining tones/genre's. Parasite Is a deftly handled film about social classes, income disparity(in particular, the psychological impact of it) and karma.Song Kang-Ho gives the standout performance as the father of a poor family who seems perfectly willing to break through any ethical walls to climb their way out of the slums.The meat of the storyline comes when the fathers' son infiltrates a wealthy household as an English tutor. Does the event spark an opportunity for financial freedom or horror for the entire family?This is both a visually and intelligently spectacular vision, played out to near perfection. There is some great symbolism throughout the film - the highs of high society, and the drowning abyss of the lower class. The cinematography is absolutely breathtaking.The film is also as funny as it is thrilling. Hopefully American audiences can take all of the comedy-in as some can literally be lost in translation and dryness.The films' not perfect. I think the poor fathers emotional state could have been fortified a bit with a longer opening set-up; if for no other reason but to drive home the income disparity impact in Korea. Americans may not fully understand the dangers of income disparity and the ""monopolization and manipulation of capitalism(a good system but not necessarily a foolproof one), but perhaps watching this will help. That aspect of the ending is a slightly under-developed, or just perhaps under-appreciated according to your demographic, though the ending as a whole is still well-fashioned and thought-provoking.I've only seen a few of the Best Picture nominees(Fordv8, 19178, Once Upon a Time7.5-8, and Irishman7) , but this is clearly my personal favorite. It wont win. IMO, The Oscars gifted ""The Artist"" the ""foreign acknowledgement Best Picture"" a few years back, so it may be awhile before we see another one. Not that there haven't been many that should have one or at least been nominated. On direction, writing, acting, cinematography, and pure enjoyment - this film checks every box for me.You might like this if you liked: The Host(7), 3-Iron(7.5-8), Nightcrawler(8), Sympathy for Mr. Vengeance(8)"
19,10,"Parasite is the best movie of the year. This Korean movie won the renowned Palme d'Or of the 2019 Cannes Film Festival. It has been selected as the South Korean entry for Best International Feature Film at the ninety-second Academy Awards.This movie combines multiple genres such as comedy, drama, horror, thriller and tragedy. The main theme is the clash between rich and poor in the Republic of Korea. This conflict has been the main topic in other great films such as The Housemaid and The Taste of Money. Parasite however is less cumbersome, melodramatic and moralizing and convinces with wit, depth and creativity instead.International audiences might feel slightly confused by this unusual genre mixture at first contact but this is exactly what makes this movie so unique. The story starts in a dramatic way and portrays a poor family who lives in a small semi-basement apartment and struggles to make ends meet. The movie gets more comedic when the son of said family gets the unexpected opportunity to replace a friend as English tutor for the beautiful daughter of a wealthy family. The film turns into a thriller when the four family members gradually infiltrate and even replace the personnel of the wealthy family with ethically questionable procedures. The movie turns into a horror film when the family realizes that the family mansion hides a creepy secret as things gradually spin out of control. The film ends as an almost surreal tragedy that will leave the audience speechless. Parasite is a movie the leaves a lasting impression, offers much food for thought and should animate philosophical discussions. The movie is so detailed, precise and profound that it deserves to be purchased to be watched time and again.I'm grateful that I had the opportunity to watch this movie in French in a Canadian cinema and so were the numerous other members of the audience in the packed movie theatre. People are craving for a change and are tired of tame, predictable and repetitive Hollywood superhero prequels, remakes and sequels. There should be more creative, dynamic and entertaining international movies like Parasite in movie theatres all around the world. If you desire to make a statement in favour of cinema as an artistic expression rather than shallow entertainment, do yourself a favour and enjoy this incredible movie on the big screen. This movie has the potential to become a cult classic and deserves all the praise it gets."
20,10,"This time I watched it in theatre with very annoying crowd. They laughed all the time but the reaction to second half of the movies was priceless (everyone was like wtf is happening). Oscars not nominating Kang-ho Song for best supporting actor is a disgrace.
Also, it deserved at least cinematography nomination but whatever."
21,10,"Song Kang-ho is one of my favorite South Korean actors and I've seen many of his films. However, I hadn't seen a Korean film since a long time, and once I heard all the good things about Parasite and the amount of acclaim it has earned, I couldn't stop myself from watching it. And whoever said it slowly transforms into something unexpected, wasn't kidding at all! Parasite started as a drama with shades of dark humor, before morphing into an edge of the seat thriller that keeps you captivated and shocks you to the extent that you can't even move. It's that spellbinding.The film can't be easily put into one genre, and that's true. Still, whether you like black comedies/dramas/thrillers or not, you must see this film at least once. It's just that you need to prepare yourself to be shocked because once the surprises start coming, you can't forget any of that for a long time. Parasite runs a little more than 2 hours but is so captivating that it might feel like the shortest 2 hours of all time.Words won't be sufficient to further describe this film's actual brilliance. I'm still spellbound. What started like a fun movie became something so surprising that it was hard to forget after it ended. It took away the very feel of watching a film. Whatever I saw just felt real, absolutely real. No doubt, Parasite is one of the most original films you'll see in the recent memory, and surprisingly has elements of almost every genre covered in its entire duration. Let's hope it wins big at the Oscars too!"
22,9,"(Flash Review)WOW! I did not see all that coming. The film sets the stage with this severely lower class family who live in a crappy garden apartment who hatch a plan to fake their way into a wealthy family's life to feed off them like parasites. They are doing real services but under a false guise while earning the family's trust. With ample tension and drama there, the film then shifts up a gear with a surprise revelation about the previous housekeeper. Topping that, the film shifts into high gear with a wild grand finale. The story was original, well-written and semi-believable with twists that don't cheat the viewer. Complimented by great cinematography and editing made the film gripping and captivating. This film can be analyzed from several angles and is aptly named so watch, enjoy, ponder."
23,5,Good but definitely not worth an Oscar for best movie or best director.
24,10,Probably the best movie of this year. I was on the edge of my seat through the whole movie. Acting is so natural and trailer didn't reveal anything to me and I'm grateful for that. This is another Korean masterpiece and it reminds me a little of Oldboy. It is shame that I had to watch it online because they aren't showing it in my cinema.
25,8,"What a great movie. No words. For very long moments I was so immersed that I forgot I was watching a movie. The plot is greatly crafted. It always moves forward and escalates. When the story requires it, the tension is remarkable. I think the father's reason to kill Mr Park could've been established a little clearer, but anyway the movie is great."
26,10,"As I write this, I want to describe my raw initial state after I finished the film, I'm in a state of complete awe, staring into the wall kind of awe, Parasite is truly a work of art, a sheer masterpiece.
This film oozes with mastery, every little detail tells a story of its own, I was drawn to it like a moth to a flame, it grips hard and it never lets go, it sways between genres gracefully, it offers comedy both dark and light, drama, horror, thrill, and it's all packaged so seamlessly, conveyed to us throughout breathtaking performances across the board, I've watched my share of Korean Cinema to know that's a common thing but Parasite takes it to a whole other level, it materializes thoughts and ideas, things words can not communicate, it is extremely rare to experience such a thing in film, I can only name a small number of movies that actually made me feel this way, just incredible.
Director Bong Joon Ho proves that he is a master within his own cross-genre domain, he takes charge and you actually feel like you're in safe hands watching this, he shapes the scenes perfectly, A true master of his trade, Thank You.
In all honesty, I feel like I went through an experiment where the time went still and I experienced a piece of art such as this, I absloutely, wholeheartedly loved every single second of this film, MINDBLOWING."
