,review
33,"I'm not that into Zombie flicks, but I really liked this one. Aside from the zombie grappling action scenes which were pretty cliched, the truly compelling characters and the interactions between them is what makes this film a 10 for me.
The fractured relationship between the overworked 'arsehole' dad and his despondent daughter as he begrudgingly escorts her on the train to Busan so she could see her mother on her birthday, the two old ladies who have clearly been close friends for life, the true arsehole of the film who's only interest is his personal wellbeing, the possibly schizophrenic tramp, who people look upon as undesirable but grows in character and regard as the film progresses, and many others. But the star of this film is the little girl who is so expressive her story is written on her face and through the body language she has with her father and the people she meets on the train. 
 This film is pretty cheesy on the face of it, I mean what would you expect from a Korean zombie film. But It goes without saying such well developed characters in such a desperate situation lays bare in the most explicit way, human nature, the good and the bad. And some scenes will have even the most hardened hearts having to fight off a tear or two."
34,"I've seen this movie 6 times and never get tired of it. 
I recommend it to anyone"
35,"I'm a huge fan of 80's B-horror movies with lots of cheesy gore in it and this movie is nothing like that. This is actually a good movie. The story is nice and touching, there's a lot of suspense, the quality is nice and it's aesthetically appealing to watch. It's just a nice film that's beautifully brought."
36,"I do not really write reviews but I had to write one for this... It's just binds you and keeps you tact till the end and the way everything's so realistic makes it even much better! Aah I watched it with English subtitles still the impact of this movie on me is impeccable!
Hat's off"
37,"This is a must see for zombie enthusiasts - what a ride! I was on the edge of my seat the entire time. First off, the characters are colorful, yet easy to relate to. I would say the supporting characters are some of the best and well written characters I've seen in a horror genre...ever. I was pleased to see there was a lot of attention to detail on each and every character. The location is unique (98% of the film is shot on a moving train) and it really adds to the high stakes, fast paced, high stress environment. I thought they did a great job creating a space and environment that really added to the story in many layers. It was thematic, metaphorical, helped pace out the film, and overall it was a great visual. This is a must watch."
38,"From start to finish this film is near flawless. Great character build up with 1st class acting. A very scary story although zombie movies are now 10 a penny. This one certainly has that something special.
The acting by the little girl Su-an Kim was outstanding. What an emotional performance. I can't think of anything bad to say about this movie. If you think you have had enough of zombie movies watch this one. It's more than a cut above the rest."
39,"In Korea ,the virus was dangerous...the korean population was infected by this virus ,so dangerous !
In my opinion , Train to Busan is beautiful and captivating movie.
The score is very emotional,I cry during this movie because the score was very important in this movie ,and emotional for my ears !
I think,this cast was a very good choice! Yoo-Gong is very charismatic and he played very good in general.
If you like or love the action movie,you should see Train to Busan !"
40,"Train to Busan is Korea's the first zombie film and also one of the best zombie films of all time. I rarely watch Korean films, but when I saw this film, I was totally surprised because it's the first.As the film name, Train to Busan, the whole thing happened on the train. So, the filming location scope is small but it turned out great. What I like of this film is it shows if you don't want to die, you'll die quicker than usual. So, we don't need to afraid of dying. We all have to die one day anyway. No one can avoid it.I really hate that CEO guy. The way he try to survive by pushing all people around him to die is something I hate most. And also I hate Koreans always love to kill off the main character(s), making the film unhappy ending. If they make the film end with some kind of happy ending, it'd be better than this.The makeup skills, special effects used in this film and performances of actors and actresses are good, so that the film becomes better and better. Even though this film is the first zombie film that Koreans ever made, it's like they had a lot of experiences with zombie films. They could make a great one on the first go.Although there are some things that I don't like in this film, it still makes one of the best zombie films I've ever watched. It's enjoyable, so, I recommend you all to watch it."
41,"I don't like giving 10 stars, it implies I am lazy or overzealous but I honestly can't think of anything to knock a star off for.
I dunno if that is how the Koreans do stuff (I've only seen one other Korean horror film that I know of, The Host) but this was a sweet and spicy movie. The spicy part was all over the place in the form of slavering hordes of really stressed out zombies who probably need to chill. There was plenty of action and distinct rounded characters in some big scenes.
The sweet was the truly tragic note to the finale which, like in The Host really grabbed you in the feels. Kim Soo An is a great actor and I hope they didn't do something nasty to make her cry like that."
42,The claustrophobic nature of the train mixed with the intensity of World War Z or 28 Days Later styles of zombies makes for an exciting viewing.
43,"This is such a great and truly underrated movie. Cinematography and acting is great, the effects were pretty good for something that isn't from Hollywood and huge budgets. And the best part is, there is no Hollywood crap like two charachters kissing in the middle of the escape scene. I really enjoyed this movie and it was way better than what i expected."
44,"Train To Busan, it's a south korean horror film, directed by Yeon Sang-ho. it lasted 118min ( it's one of the best 118min in my life Xd ). This movie is set in South Korea!
It started with Seok-Woo ( Gong Yoo ) who accepted his doughter's request, which is to take her to Busan to see her mother, because it's Su-An's birthday ( Well.. Su-An is the daughter:) ).. But the journey has been disrupted by a hellish on-board zombie outbreak.. And the real story begins... Who will survive? and How?
I think that it is more than a horror movie, because it shows how selfish, greedy a human can be... And It makes you realize how precious your father is. He is the one who will make many sacrifices for you when no-one will.. 
The ending was especially well-done and sentimental. A child who saved lives through her singing.. Which make me realize that music makes us feel secure..
Overall, ' Train To Busan ' is the best Zombie movie ( It's exciting, emotional and heartbreaking ) with a good child actor! Also the performances are convincing...
If you are a Zombie fan, you should definitly give this movie a try ;)."
45,"'Train to Busan' is a thoroughly enjoyable, nail biting, scary, occasionally thought-provoking experience, heart-wrenching, innovative, effective and technically excellent movie. The background score is very effective. The Koreans do know how to make a great movie! MUST WATCH!!"
46,"If you are eagerly finding some of the best zombie movies than its worth watching for you. amazing pace with extraordinary acting & twist. everyone did brilliant job. you can't differentiate between a hollywood movie & this one. technically this is better than as usual hollywood zombie movies. watch it, i guarantee you won't regret."
47,"This movie was fantastic for a few reasons... It is faced paced once the action kicks up.. Time isn't wasted on tons of irrelevant character history, it is about the ""in the moment"" character empathy.. Were this movie got me was it's heart. Most hollywood cookie cutter action flicks have some kid with unreal ""talents"" at it's core... This movie has a child.. just a normal child, but what a great lil' actress she is. The whole movie was a great ride!"
48,"It's been a while since I've seen a really good movie and a really good zombie movie at that. But Train to Busan is LIIIIIIIT!!! I was exhausted by the end of this movie. Everytime you though you catch a little break, BAM! Something else goes wrong. It was a never ending thrill ride! If you are looking for something truly entertaining to watch, this movie is it!"
49,Train to Bushan is one of the best movie in its genre. It is a must watch zombie movie.
